timestamp,hour,day,month,day_of_week,aqi,pm2_5,pm10,no2,o3,co,temp,humidity,pressure,wind_speed
2026-07-18 19:46:56.017691,19,18,7,5,3,35.31,88.81,14.72,26.77,411.67,37.14,33,998,3.48
2026-07-18 19:52:55.769629,19,18,7,5,3,35.31,88.81,14.72,26.77,411.67,37.14,33,998,3.48
2026-07-18 20:04:25.226175,20,18,7,5,3,35.31,88.81,14.72,26.77,411.67,37.14,33,998,3.48
2026-07-18 21:52:17.486038,21,18,7,5,3,31.2,87.52,10.82,35.91,322.53,37.85,30,997,4.11
2026-07-18 22:51:19.596349,22,18,7,5,3,29.11,85.79,9.27,39.33,279.67,37.57,29,998,4.22
2026-07-18 23:54:42.305898,23,18,7,5,3,27.03,85.53,7.62,43.15,235.69,37.14,31,998,4.63
2026-07-19 02:46:10.609051,2,19,7,6,3,23.89,92.67,5.13,47.66,177.26,35.78,35,1001,3.11
2026-07-19 05:54:33.756256,5,19,7,6,4,25.4,100.41,1.91,68.32,140.36,37.04,33,1001,2.94
2026-07-19 08:20:22.513537,8,19,7,6,3,23.26,84.58,1.02,75.28,117.94,40.73,27,998,3.29
2026-07-19 10:28:49.109448,10,19,7,6,3,22.08,75.19,1.14,79.65,119.88,42.52,24,996,3.9
2026-07-19 11:59:08.885208,11,19,7,6,3,22.85,77.85,1.88,78.14,126.88,41.22,27,996,5.37
2026-07-19 13:44:00.877038,13,19,7,6,3,17.92,54.26,8.74,46.54,236.11,39.31,29,996,4.99
2026-07-19 14:56:37.432521,14,19,7,6,3,19.93,55.99,11.46,37.89,300.52,38.4,31,997,3.95
2026-07-19 16:00:33.230083,16,19,7,6,3,21.53,56.89,13.46,31.21,353.45,38.05,31,997,3.72
2026-07-19 17:10:23.871564,17,19,7,6,3,23.09,57.93,15.15,25.31,401.27,37.66,32,998,3.57
2026-07-19 20:50:31.810156,20,19,7,6,3,25.87,60.8,17.52,13.96,473.82,35.25,39,998,2.85
2026-07-19 21:53:34.540158,21,19,7,6,3,25.67,63.52,15.46,19.02,442.51,34.99,43,997,2.2
2026-07-19 22:53:17.386242,22,19,7,6,3,25.6,65.31,14.13,22.2,418.31,34.73,46,998,2.04
2026-07-19 23:58:24.252951,23,19,7,6,3,25.17,67.66,12.62,26.41,380.28,34.67,46,998,1.93
2026-07-20 03:54:02.365546,3,20,7,0,3,23.8,93.05,5.55,48.63,209.16,34.92,46,1000,1.77
2026-07-20 06:47:15.786306,6,20,7,0,3,22.98,84.15,1.63,71.1,141.59,36.58,42,999,2.99
2026-07-20 15:51:28.967538,15,20,7,0,2,18.79,47.34,10.16,46.14,272.64,33.38,55,998,7.77
2026-07-20 16:42:44.489289,16,20,7,0,2,21.45,45.14,11.29,41.85,313.62,31.56,62,999,7.55
